PERSON ID;OTHER PERSON ID;SEQUENCE;MODE;AVG;MAX;MIN
ID041;ID050;02;frontal_gaze;0.526652;0.456110;0.572547
ID041;ID025;02;frontal_gaze;0.534786;0.485415;0.588013
ID041;ID003;02;looking_around_with_occlusion;0.526421;0.463515;0.571848
ID042;ID025;01;frontal_gaze;0.560804;0.485469;0.620104
ID042;ID029;02;frontal_gaze;0.564970;0.479985;0.614254
ID042;ID065;01;looking_around;0.547675;0.482280;0.585489
ID042;ID003;01;looking_around;0.549990;0.498189;0.602389
ID042;ID055;01;looking_around_with_occlusion;0.532695;0.480627;0.593528
ID042;ID064;01;frontal_gaze;0.545219;0.490294;0.589679
ID043;ID027;01;frontal_gaze;0.577643;0.526285;0.633985
ID043;ID029;01;looking_around;0.575392;0.467454;0.630110
ID043;ID019;02;looking_around_with_occlusion;0.514765;0.459943;0.598156
ID043;ID054;01;frontal_gaze;0.573934;0.485706;0.638587
ID043;ID065;01;looking_around_with_occlusion;0.528425;0.468590;0.596772
ID043;ID035;01;looking_around_with_occlusion;0.539427;0.465340;0.627335
ID044;ID016;01;looking_around_with_occlusion;0.514016;0.447616;0.554562
ID044;ID036;02;looking_around_with_occlusion;0.550434;0.501171;0.585475
ID044;ID015;01;looking_around;0.541061;0.495317;0.585182
ID044;ID004;02;frontal_gaze;0.540965;0.494541;0.586718
ID044;ID019;02;frontal_gaze;0.506458;0.463477;0.545079
ID044;ID047;02;looking_around;0.519890;0.460983;0.582771
ID045;ID030;02;frontal_gaze;0.530444;0.449116;0.586437
ID045;ID017;02;frontal_gaze;0.519764;0.464477;0.572462
ID045;ID038;02;looking_around;0.550565;0.489691;0.624317
ID045;ID020;02;looking_around;0.500738;0.442782;0.551044
ID045;ID042;02;looking_around_with_occlusion;0.510711;0.464248;0.556905
ID045;ID021;01;looking_around;0.518038;0.467595;0.577261
ID046;ID062;01;looking_around;0.584201;0.541156;0.642489
ID046;ID031;01;looking_around;0.542115;0.476915;0.584839
ID046;ID050;02;looking_around;0.503489;0.449719;0.564005
ID046;ID063;02;looking_around_with_occlusion;0.517827;0.458099;0.607689
ID046;ID012;01;looking_around;0.532671;0.493147;0.594564
ID046;ID035;02;looking_around_with_occlusion;0.516746;0.455052;0.571566
ID047;ID025;01;looking_around_with_occlusion;0.548611;0.484120;0.620529
ID047;ID058;01;frontal_gaze;0.541181;0.479973;0.599656
ID047;ID011;01;looking_around;0.526843;0.464628;0.597409
ID047;ID024;02;frontal_gaze;0.549632;0.482892;0.621289
ID047;ID057;01;frontal_gaze;0.554419;0.511643;0.617773
ID047;ID031;02;frontal_gaze;0.504577;0.445820;0.562183
ID048;ID065;01;looking_around;0.528138;0.471564;0.575597
ID048;ID063;01;looking_around_with_occlusion;0.524417;0.468655;0.608094
ID048;ID026;01;looking_around_with_occlusion;0.523315;0.451596;0.588518
ID048;ID015;02;frontal_gaze;0.518034;0.470280;0.570557
ID048;ID001;02;looking_around;0.536179;0.474621;0.604982
ID048;ID061;02;looking_around;0.523176;0.468553;0.580560
ID049;ID056;01;frontal_gaze;0.555945;0.480480;0.612683
ID049;ID033;02;looking_around_with_occlusion;0.556798;0.487523;0.615339
ID049;ID023;02;looking_around_with_occlusion;0.529645;0.475033;0.594234
ID049;ID019;02;looking_around_with_occlusion;0.548851;0.473569;0.612573
ID049;ID008;02;frontal_gaze;0.506389;0.460721;0.568134
ID049;ID017;01;looking_around;0.528791;0.488647;0.567679
ID050;ID003;01;frontal_gaze;0.572288;0.509759;0.628793
ID050;ID029;01;frontal_gaze;0.654150;0.574633;0.711362
ID050;ID035;02;looking_around;0.534840;0.469900;0.616651
ID050;ID043;01;looking_around_with_occlusion;0.534698;0.467503;0.604046
ID050;ID037;02;frontal_gaze;0.525674;0.469731;0.585548
ID050;ID024;02;looking_around;0.526512;0.448114;0.599637
ID051;ID001;02;frontal_gaze;0.550132;0.495438;0.602508
ID051;ID038;01;looking_around_with_occlusion;0.527582;0.480719;0.581859
ID051;ID032;02;looking_around_with_occlusion;0.495671;0.411860;0.563030
ID051;ID049;02;looking_around_with_occlusion;0.515294;0.455571;0.569109
ID051;ID041;02;frontal_gaze;0.508412;0.434581;0.606851
ID051;ID005;02;looking_around_with_occlusion;0.521400;0.462627;0.587859
ID052;ID033;02;looking_around_with_occlusion;0.528430;0.482403;0.587376
ID052;ID025;01;frontal_gaze;0.540187;0.489797;0.581834
ID052;ID035;01;looking_around;0.517181;0.458564;0.566807
ID052;ID039;02;looking_around_with_occlusion;0.510234;0.450444;0.575048
ID052;ID062;02;frontal_gaze;0.560102;0.515166;0.602286
ID052;ID032;01;frontal_gaze;0.544955;0.503935;0.579039
ID053;ID017;01;looking_around;0.557014;0.506872;0.612437
ID053;ID062;01;looking_around;0.538522;0.486280;0.596701
ID053;ID014;01;looking_around;0.540464;0.486558;0.607349
ID053;ID001;02;looking_around;0.573222;0.477235;0.662748
ID053;ID043;01;looking_around;0.512989;0.438929;0.586229
ID053;ID059;01;looking_around;0.507261;0.418070;0.572296
ID054;ID043;01;frontal_gaze;0.562356;0.482328;0.617834
ID054;ID065;01;frontal_gaze;0.536706;0.478387;0.592714
ID054;ID042;02;looking_around;0.519419;0.458869;0.575381
ID054;ID015;01;frontal_gaze;0.523233;0.486302;0.574104
ID054;ID037;01;looking_around_with_occlusion;0.531871;0.460391;0.589601
ID054;ID047;01;looking_around_with_occlusion;0.538158;0.469626;0.617391
ID055;ID015;02;frontal_gaze;0.549338;0.488151;0.610718
ID055;ID011;01;looking_around;0.555082;0.483796;0.606796
ID055;ID025;02;looking_around;0.532039;0.453241;0.599347
ID055;ID042;02;looking_around_with_occlusion;0.518420;0.465696;0.572165
ID055;ID033;02;looking_around_with_occlusion;0.549362;0.481553;0.617413
ID055;ID008;02;frontal_gaze;0.514242;0.441278;0.592518
ID056;ID013;02;frontal_gaze;0.541474;0.493563;0.588784
ID056;ID049;01;looking_around;0.528485;0.462520;0.586215
ID056;ID014;01;looking_around;0.554336;0.497130;0.604302
ID056;ID032;01;looking_around_with_occlusion;0.527899;0.483764;0.578248
ID056;ID022;01;frontal_gaze;0.547602;0.473184;0.628693
ID056;ID065;02;looking_around_with_occlusion;0.509335;0.461053;0.564016
ID057;ID030;02;looking_around;0.554199;0.477696;0.614610
ID057;ID064;01;looking_around_with_occlusion;0.546364;0.484830;0.595871
ID057;ID028;01;frontal_gaze;0.518517;0.453137;0.551460
ID057;ID012;01;frontal_gaze;0.545510;0.451700;0.603052
ID057;ID047;02;looking_around_with_occlusion;0.532639;0.465126;0.610513
ID057;ID032;02;looking_around_with_occlusion;0.523294;0.477792;0.567217
ID058;ID047;01;looking_around_with_occlusion;0.526243;0.446012;0.589965
ID058;ID031;01;frontal_gaze;0.554979;0.476746;0.598316
ID058;ID028;01;frontal_gaze;0.530452;0.486613;0.582307
ID058;ID037;01;looking_around;0.528395;0.468127;0.586328
ID058;ID018;02;looking_around;0.522857;0.473692;0.569000
ID058;ID009;01;looking_around;0.521655;0.492479;0.558814
ID059;ID025;01;frontal_gaze;0.564829;0.505568;0.627057
ID059;ID053;02;looking_around_with_occlusion;0.553592;0.499467;0.612100
ID059;ID014;02;looking_around_with_occlusion;0.511122;0.443212;0.586205
ID059;ID007;02;looking_around;0.539758;0.480852;0.588763
ID059;ID062;01;looking_around_with_occlusion;0.519186;0.472060;0.562978
ID059;ID051;01;looking_around_with_occlusion;0.534828;0.471491;0.599765
ID060;ID027;02;looking_around_with_occlusion;0.516326;0.467138;0.569138
ID060;ID040;01;looking_around_with_occlusion;0.527155;0.445263;0.583881
ID060;ID017;01;looking_around;0.531268;0.472565;0.579917
