ID_SOGGETTO,SEQUENZA,POSA,AVG,MAX,MIN
ID001,1,frontal_gaze,0.4557043341584158,0.99264,0.262245
ID001,1,looking_around,0.5269095954773869,0.906124,0.32197
ID001,1,looking_around_with_occlusion,0.617442302795031,0.91495,0.38479
ID001,2,frontal_gaze,0.5807402924393723,0.894285,0.292205
ID001,2,looking_around,0.6610524985337244,0.910853,0.483154
ID001,2,looking_around_with_occlusion,0.6514288956639567,0.862457,0.341019
ID002,1,frontal_gaze,0.5039824379699248,0.851754,0.335154
ID002,1,looking_around,0.5304176229946524,0.979424,0.330571
ID002,1,looking_around_with_occlusion,0.5978283459459459,0.810423,0.365833
ID002,2,frontal_gaze,0.5301489336870027,0.843251,0.266082
ID002,2,looking_around,0.6121629268292683,0.896808,0.400355
ID002,2,looking_around_with_occlusion,0.5869554065934066,0.836747,0.362527
ID003,1,frontal_gaze,0.5273825,0.911945,0.290842
ID003,1,looking_around,0.5814033052109181,0.77423,0.34224
ID003,1,looking_around_with_occlusion,0.6113470520231215,0.907146,0.414958
ID003,2,frontal_gaze,0.5616557960199005,0.945353,0.305676
ID003,2,looking_around,0.5648593706896551,0.856848,0.304962
ID003,2,looking_around_with_occlusion,0.6536282606516292,1.045512,0.380337
ID004,1,frontal_gaze,0.517097469879518,0.682372,0.363468
ID004,1,looking_around,0.6036819210526316,0.990869,0.475789
ID004,2,frontal_gaze,0.6345494260869565,0.787137,0.432466
ID004,2,looking_around_with_occlusion,0.7473617522935779,0.983541,0.520119
ID005,1,frontal_gaze,0.37052667338709677,0.936087,0.188554
ID005,1,looking_around,0.45454985114503815,0.997983,0.183774
ID005,1,looking_around_with_occlusion,0.6372831038062283,0.994498,0.277554
ID005,2,frontal_gaze,0.438154146179402,0.727636,0.143674
ID005,2,looking_around_with_occlusion,0.5526140114942529,0.773201,0.341913
ID006,1,frontal_gaze,0.3206467257731959,0.622001,0.161651
ID006,1,looking_around,0.3813190159151194,0.663567,0.15042
ID006,1,looking_around_with_occlusion,0.43381423230088495,0.629814,0.251324
ID006,2,frontal_gaze,0.4477712630560929,0.731583,0.214534
ID006,2,looking_around,0.46221469978401725,0.702312,0.255281
ID006,2,looking_around_with_occlusion,0.477738820083682,0.74139,0.245405
ID007,1,frontal_gaze,0.5100579364161849,0.776065,0.275931
ID007,1,looking_around,0.5450454050632911,0.863615,0.285821
ID007,1,looking_around_with_occlusion,0.5638702857142858,0.781046,0.405202
ID007,2,frontal_gaze,0.5116536486486486,0.876308,0.27809
ID007,2,looking_around,0.5467106891891892,0.929299,0.353786
ID007,2,looking_around_with_occlusion,0.6513046848249027,0.900191,0.449937
ID008,1,frontal_gaze,0.5444023535353535,1.050498,0.307155
ID008,1,looking_around,0.5545737957746478,1.030537,0.306418
ID008,1,looking_around_with_occlusion,0.6521063443983401,1.00959,0.329612
ID008,2,frontal_gaze,0.6982097116788322,0.942629,0.442756
ID008,2,looking_around,0.6672428565891473,0.970065,0.417675
ID008,2,looking_around_with_occlusion,0.6863325521885522,1.092511,0.399607
ID009,1,frontal_gaze,0.35882121012658225,0.589215,0.2175
ID009,1,looking_around,0.3903352057291667,0.690407,0.213795
ID009,1,looking_around_with_occlusion,0.4034120921409214,0.954189,0.238619
ID009,2,frontal_gaze,0.3159933211678832,0.603415,0.118125
ID009,2,looking_around,0.41778229888268154,0.958985,0.240098
ID009,2,looking_around_with_occlusion,0.5720636795580111,0.847391,0.334908
