ID_SOGGETTO;SEQUENZA;POSA;AVG;MAX;MIN
ID001;1;frontal_gaze;0.772147832920792;0.50368;0.8688775
ID001;1;looking_around;0.7365452022613066;0.5469379999999999;0.8390150000000001
ID001;1;looking_around_with_occlusion;0.6912788486024846;0.5425249999999999;0.807605
ID001;2;frontal_gaze;0.7096298537803138;0.5528575;0.8538975
ID001;2;looking_around;0.6694737507331379;0.5445735;0.7584230000000001
ID001;2;looking_around_with_occlusion;0.6742855521680217;0.5687715;0.8294905
ID002;1;frontal_gaze;0.7480087810150375;0.5741229999999999;0.832423
ID002;1;looking_around;0.7347911885026738;0.5102880000000001;0.8347145
ID002;1;looking_around_with_occlusion;0.701085827027027;0.5947884999999999;0.8170835
ID002;2;frontal_gaze;0.7349255331564987;0.5783745;0.866959
ID002;2;looking_around;0.6939185365853658;0.551596;0.7998225
ID002;2;looking_around_with_occlusion;0.7065222967032967;0.5816265;0.8187365
ID003;1;frontal_gaze;0.7363087500000001;0.5440275;0.854579
ID003;1;looking_around;0.7092983473945409;0.612885;0.8288800000000001
ID003;1;looking_around_with_occlusion;0.6943264739884393;0.546427;0.792521
ID003;2;frontal_gaze;0.7191721019900498;0.5273235000000001;0.847162
ID003;2;looking_around;0.7175703146551724;0.571576;0.847519
ID003;2;looking_around_with_occlusion;0.6731858696741855;0.477244;0.8098315
ID004;1;frontal_gaze;0.741451265060241;0.658814;0.8182659999999999
ID004;1;looking_around;0.6981590394736842;0.5045655;0.7621055
ID004;2;frontal_gaze;0.6827252869565217;0.6064315;0.783767
ID004;2;looking_around_with_occlusion;0.6263191238532111;0.5082295;0.7399405
ID005;1;frontal_gaze;0.8147366633064517;0.5319564999999999;0.9057230000000001
ID005;1;looking_around;0.772725074427481;0.5010085;0.908113
ID005;1;looking_around_with_occlusion;0.6813584480968858;0.502751;0.861223
ID005;2;frontal_gaze;0.780922926910299;0.636182;0.928163
ID005;2;looking_around_with_occlusion;0.7236929942528736;0.6133995;0.8290435
ID006;1;frontal_gaze;0.839676637113402;0.6889995;0.9191745
ID006;1;looking_around;0.8093404920424403;0.6682165;0.92479
ID006;1;looking_around_with_occlusion;0.7830928838495576;0.685093;0.8743380000000001
ID006;2;frontal_gaze;0.7761143684719536;0.6342085;0.892733
ID006;2;looking_around;0.7688926501079913;0.648844;0.8723595
ID006;2;looking_around_with_occlusion;0.761130589958159;0.629305;0.8772975
ID007;1;frontal_gaze;0.7449710317919076;0.6119675;0.8620345
