PERSON ID;OTHER PERSON ID;SEQUENCE;MODE;AVG;MAX;MIN
ID016;ID025;02;frontal_gaze;0.987521;1.073563;0.877413
ID016;ID035;02;frontal_gaze;0.905112;1.026730;0.729499
ID017;ID053;01;frontal_gaze;0.938662;1.102819;0.797951
ID017;ID037;02;looking_around_with_occlusion;0.884910;1.031359;0.754945
ID017;ID062;01;looking_around;0.857342;0.996523;0.662444
ID017;ID003;01;looking_around;0.942695;1.077278;0.851532
ID017;ID025;01;frontal_gaze;0.938508;1.057624;0.841665
ID017;ID011;01;frontal_gaze;0.932323;1.081155;0.808494
ID018;ID021;02;looking_around;0.957518;1.073865;0.871160
ID018;ID019;01;frontal_gaze;1.043458;1.198960;0.882942
ID018;ID004;01;looking_around;0.975891;1.083033;0.902054
ID018;ID058;02;frontal_gaze;0.947421;1.046269;0.852670
ID018;ID061;02;looking_around;0.902717;1.046493;0.767169
ID018;ID063;01;looking_around;0.915824;1.013046;0.794202
ID019;ID061;01;looking_around;0.897960;1.041337;0.740284
ID019;ID043;02;frontal_gaze;0.951470;1.083866;0.835841
ID019;ID032;02;frontal_gaze;0.970728;1.077015;0.892532
ID019;ID049;01;looking_around;0.954531;1.100339;0.850637
ID019;ID027;02;looking_around_with_occlusion;0.921215;1.074536;0.781839
ID019;ID018;02;frontal_gaze;0.926519;1.059550;0.761196
ID020;ID029;01;looking_around_with_occlusion;0.926994;1.051218;0.832880
ID020;ID013;02;frontal_gaze;0.970105;1.049012;0.875299
ID020;ID030;02;looking_around_with_occlusion;0.947945;1.052457;0.861059
ID020;ID012;02;looking_around;0.958236;1.073684;0.864347
ID020;ID043;02;looking_around;0.954210;1.121208;0.825585
ID020;ID045;02;looking_around_with_occlusion;0.954750;1.080943;0.796643
ID021;ID025;02;looking_around;0.867057;1.011652;0.735459
ID021;ID018;02;frontal_gaze;0.930448;1.029378;0.824839
ID021;ID003;02;looking_around_with_occlusion;0.932429;1.069035;0.806969
ID021;ID041;01;looking_around_with_occlusion;0.954974;1.093765;0.854942
ID021;ID014;02;frontal_gaze;0.963186;1.099489;0.865065
ID021;ID053;01;frontal_gaze;0.981868;1.076444;0.881977
ID022;ID050;02;looking_around_with_occlusion;0.923391;1.057814;0.766455
ID022;ID056;01;looking_around;0.892447;1.040069;0.750839
ID022;ID010;01;looking_around_with_occlusion;0.975859;1.098962;0.892568
ID022;ID065;02;looking_around;0.964527;1.048350;0.868051
ID022;ID035;02;looking_around_with_occlusion;0.969675;1.096296;0.874686
ID022;ID032;01;looking_around_with_occlusion;0.923070;1.082789;0.818022
ID023;ID049;01;frontal_gaze;0.940014;1.060164;0.819455
ID023;ID043;02;frontal_gaze;0.919702;1.066246;0.799375
ID023;ID029;01;frontal_gaze;0.952600;1.131435;0.866352
ID023;ID036;01;looking_around;0.940973;1.040476;0.849812
ID023;ID015;01;looking_around;0.933781;1.026000;0.837000
ID023;ID019;02;frontal_gaze;0.960437;1.082390;0.846446
ID024;ID003;01;looking_around;0.948691;1.062685;0.853864
ID024;ID062;01;looking_around;0.895044;0.963865;0.802835
ID024;ID050;01;looking_around_with_occlusion;0.911758;1.111506;0.746043
ID024;ID047;01;looking_around_with_occlusion;0.953862;1.101568;0.784846
ID024;ID055;02;looking_around;0.897453;1.031769;0.808890
ID024;ID046;02;looking_around_with_occlusion;0.953047;1.042749;0.866370
ID025;ID064;02;looking_around_with_occlusion;0.932068;1.100286;0.713915
ID025;ID014;01;looking_around;0.882721;1.001626;0.791517
ID025;ID047;01;looking_around;0.841937;0.979127;0.704919
ID025;ID035;02;looking_around;0.941308;1.071544;0.827184
ID025;ID021;02;looking_around_with_occlusion;0.899655;1.016217;0.773326
ID025;ID055;02;looking_around;0.883240;0.992906;0.781898
ID026;ID048;02;looking_around;0.913007;1.075924;0.777568
ID026;ID040;01;looking_around;0.939339;1.089731;0.834257
ID026;ID005;02;frontal_gaze;0.871817;0.983332;0.748431
ID026;ID023;02;looking_around_with_occlusion;0.946195;1.033658;0.841322
ID026;ID034;01;looking_around;0.970069;1.145094;0.869851
ID026;ID009;01;looking_around;0.922007;1.029967;0.786746
ID027;ID035;01;looking_around;0.899393;1.037521;0.761863
ID027;ID043;01;looking_around_with_occlusion;0.869562;1.033733;0.723802
ID027;ID060;02;looking_around_with_occlusion;0.958499;1.087944;0.827157
ID027;ID019;01;looking_around;0.982760;1.113915;0.810034
ID027;ID008;01;looking_around;0.919949;1.069569;0.722021
ID027;ID041;01;frontal_gaze;0.891196;0.976456;0.795601
ID028;ID057;02;looking_around;0.940545;1.077531;0.837393
ID028;ID058;01;looking_around_with_occlusion;0.921452;1.004292;0.800781
ID028;ID039;02;looking_around;0.930333;1.035591;0.816152
ID028;ID023;01;looking_around;0.936569;1.039518;0.824185
ID028;ID006;02;looking_around_with_occlusion;0.976934;1.102197;0.854097
ID028;ID046;01;frontal_gaze;0.958879;1.035553;0.865068
ID029;ID050;02;looking_around_with_occlusion;0.786422;0.972152;0.601462
ID029;ID037;01;looking_around_with_occlusion;0.973632;1.104426;0.822259
ID029;ID043;02;looking_around_with_occlusion;0.949842;1.126765;0.827454
ID029;ID064;02;looking_around_with_occlusion;0.935933;1.072883;0.796068
ID029;ID020;01;looking_around_with_occlusion;0.881013;1.047236;0.773691
ID029;ID042;01;looking_around;0.905995;1.009364;0.775864
ID030;ID057;01;looking_around_with_occlusion;0.825308;1.006294;0.685051
ID030;ID036;02;looking_around_with_occlusion;0.970911;1.075109;0.884996
ID030;ID045;01;looking_around_with_occlusion;1.004624;1.095424;0.865705
ID030;ID065;01;frontal_gaze;0.893097;1.028599;0.786390
ID030;ID032;01;looking_around_with_occlusion;0.891288;1.014340;0.763671
ID030;ID025;02;looking_around;0.876726;1.049621;0.749287
ID031;ID058;02;frontal_gaze;0.886895;1.035941;0.801863
ID031;ID011;01;frontal_gaze;0.902955;1.004232;0.787819
ID031;ID046;01;frontal_gaze;0.981940;1.063213;0.863532
ID031;ID047;02;frontal_gaze;1.001314;1.142247;0.818460
ID031;ID008;01;looking_around_with_occlusion;0.899163;1.024314;0.804480
ID031;ID065;02;looking_around_with_occlusion;0.998886;1.122986;0.873163
ID032;ID065;02;looking_around_with_occlusion;0.917056;1.058578;0.712036
ID032;ID011;02;looking_around;0.947213;1.085497;0.813595
ID032;ID019;02;frontal_gaze;0.920874;1.038544;0.827745
ID032;ID056;01;looking_around;0.923300;1.059185;0.808914
ID032;ID015;01;frontal_gaze;0.847239;1.051854;0.737812
ID032;ID030;01;looking_around_with_occlusion;0.904946;1.018172;0.774659
ID033;ID049;01;frontal_gaze;0.936274;1.093229;0.813861
ID033;ID006;01;looking_around_with_occlusion;0.872415;0.963805;0.787102
ID033;ID041;01;looking_around;0.903224;0.995644;0.804272
ID033;ID005;01;looking_around_with_occlusion;0.937387;1.062103;0.824969
ID033;ID055;01;looking_around;0.901854;1.015980;0.790167
ID033;ID052;02;frontal_gaze;0.941299;1.065383;0.854533
ID034;ID040;02;looking_around_with_occlusion;0.983803;1.100214;0.878405
ID034;ID001;01;looking_around;0.888419;1.067591;0.784590
ID034;ID009;02;looking_around_with_occlusion;0.950799;1.108143;0.856145
ID034;ID003;02;looking_around;0.961332;1.077745;0.828201
