PERSON ID;OTHER PERSON ID;SUBJECT_IN_FRAME_ID;SEQUENCE;MODE;AVG;MAX;MIN
047;065;047;01;frontal_gaze;0.998082;1.000000;0.971753
047;065;047;01;looking_around;0.997718;1.000000;0.927680
047;065;047;01;looking_around_with_occlusion;0.999286;1.000000;0.960425
047;065;047;02;frontal_gaze;0.998413;1.000000;0.966923
047;065;047;02;looking_around;0.998082;1.000000;0.956430
047;065;047;02;looking_around_with_occlusion;0.999138;1.000000;0.983317
047;065;065;01;frontal_gaze;0.997469;1.000000;0.958437
047;065;065;01;looking_around;0.997501;1.000000;0.904519
047;065;065;01;looking_around_with_occlusion;0.995739;1.000000;0.875509
047;065;065;02;frontal_gaze;0.987204;1.000000;0.868120
047;065;065;02;looking_around;0.999121;1.000000;0.986437
047;065;065;02;looking_around_with_occlusion;0.999237;1.000000;0.983972
048;001;001;01;frontal_gaze;0.992256;0.999999;0.949369
048;001;001;01;looking_around;0.988132;1.000000;0.870071
048;001;001;01;looking_around_with_occlusion;0.998781;1.000000;0.951798
048;001;001;02;frontal_gaze;0.994581;1.000000;0.939173
048;001;001;02;looking_around;0.998116;1.000000;0.951565
048;001;001;02;looking_around_with_occlusion;0.999861;1.000000;0.996141
048;001;048;01;frontal_gaze;1.000000;1.000000;0.999989
048;001;048;01;looking_around;0.998607;1.000000;0.964461
048;001;048;01;looking_around_with_occlusion;0.999822;1.000000;0.989832
048;001;048;02;frontal_gaze;0.999912;1.000000;0.994780
048;001;048;02;looking_around;0.999934;1.000000;0.996805
048;001;048;02;looking_around_with_occlusion;0.999055;1.000000;0.955492
048;006;006;01;frontal_gaze;0.999219;1.000000;0.979626
048;006;006;01;looking_around;0.999419;1.000000;0.988581
048;006;006;01;looking_around_with_occlusion;0.998004;1.000000;0.957636
048;006;006;02;frontal_gaze;0.997633;1.000000;0.964057
048;006;006;02;looking_around;0.999584;1.000000;0.990541
048;006;006;02;looking_around_with_occlusion;0.998850;1.000000;0.973277
048;006;048;01;frontal_gaze;0.999971;1.000000;0.996477
048;006;048;01;looking_around;0.996805;1.000000;0.828920
048;006;048;01;looking_around_with_occlusion;0.999213;1.000000;0.953403
048;006;048;02;frontal_gaze;0.999551;1.000000;0.988958
048;006;048;02;looking_around;0.999081;1.000000;0.961083
048;006;048;02;looking_around_with_occlusion;0.997038;1.000000;0.787758
048;039;039;01;frontal_gaze;0.958638;0.999995;0.691897
048;039;039;01;looking_around;0.975410;1.000000;0.734004
048;039;039;01;looking_around_with_occlusion;0.832014;0.992905;0.220972
048;039;039;02;frontal_gaze;0.883226;0.999988;0.113344
048;039;039;02;looking_around;0.966026;1.000000;0.424953
048;039;039;02;looking_around_with_occlusion;0.948455;1.000000;0.454076
048;039;048;01;frontal_gaze;0.998231;1.000000;0.956498
048;039;048;01;looking_around;0.958412;1.000000;0.184896
048;039;048;01;looking_around_with_occlusion;0.984988;1.000000;0.379142
048;039;048;02;frontal_gaze;0.993319;1.000000;0.871855
048;039;048;02;looking_around;0.956754;1.000000;0.525478
048;039;048;02;looking_around_with_occlusion;0.950147;1.000000;0.108621
049;008;008;01;frontal_gaze;0.991903;1.000000;0.928300
049;008;008;01;looking_around;0.972916;1.000000;0.743731
049;008;008;01;looking_around_with_occlusion;0.993322;1.000000;0.919165
049;008;008;02;frontal_gaze;0.959823;0.999999;0.604998
049;008;008;02;looking_around;0.883212;1.000000;0.133597
049;008;008;02;looking_around_with_occlusion;0.997159;1.000000;0.952667
049;008;049;01;frontal_gaze;0.880175;1.000000;0.175207
049;008;049;01;looking_around;0.935682;1.000000;0.129995
049;008;049;01;looking_around_with_occlusion;0.979145;1.000000;0.479336
049;008;049;02;frontal_gaze;0.939532;1.000000;0.490232
049;008;049;02;looking_around;0.893515;1.000000;0.116167
049;008;049;02;looking_around_with_occlusion;0.969759;1.000000;0.582712
