PERSON ID;OTHER PERSON ID;SUBJECT_IN_FRAME_ID;SEQUENCE;MODE;AVG;MAX;MIN
001;017;001;01;frontal_gaze;0.995401;1.000000;0.833213
001;017;001;01;looking_around;0.998527;1.000000;0.973942
001;017;001;01;looking_around_with_occlusion;0.999479;1.000000;0.983921
001;017;001;02;frontal_gaze;0.996048;1.000000;0.848667
001;017;001;02;looking_around;0.999853;1.000000;0.987033
001;017;001;02;looking_around_with_occlusion;0.999435;1.000000;0.934432
001;017;017;01;frontal_gaze;0.995004;1.000000;0.946268
001;017;017;01;looking_around;0.998388;1.000000;0.977081
001;017;017;01;looking_around_with_occlusion;0.996050;1.000000;0.849219
001;017;017;02;frontal_gaze;0.988500;1.000000;0.837228
001;017;017;02;looking_around;0.998195;1.000000;0.957882
001;017;017;02;looking_around_with_occlusion;0.997940;1.000000;0.964916
001;020;001;01;frontal_gaze;0.994211;1.000000;0.836068
001;020;001;01;looking_around;0.990495;1.000000;0.845104
001;020;001;01;looking_around_with_occlusion;0.997608;1.000000;0.947417
001;020;001;02;frontal_gaze;0.997503;1.000000;0.955244
001;020;001;02;looking_around;0.999243;1.000000;0.977150
001;020;001;02;looking_around_with_occlusion;0.998732;1.000000;0.957490
001;020;020;01;frontal_gaze;0.994456;1.000000;0.913995
001;020;020;01;looking_around;0.995902;1.000000;0.853810
001;020;020;01;looking_around_with_occlusion;0.996432;1.000000;0.976975
001;020;020;02;frontal_gaze;0.992809;1.000000;0.737273
001;020;020;02;looking_around;0.998926;1.000000;0.978329
001;020;020;02;looking_around_with_occlusion;0.998922;1.000000;0.936536
001;034;001;01;frontal_gaze;0.992257;1.000000;0.680423
001;034;001;01;looking_around;0.996549;1.000000;0.972239
001;034;001;01;looking_around_with_occlusion;0.998883;1.000000;0.986692
001;034;001;02;frontal_gaze;0.995290;1.000000;0.922821
001;034;001;02;looking_around;0.999387;1.000000;0.946259
001;034;001;02;looking_around_with_occlusion;0.998928;1.000000;0.970641
001;034;034;01;frontal_gaze;0.999619;1.000000;0.992119
001;034;034;01;looking_around;0.999544;1.000000;0.992317
001;034;034;01;looking_around_with_occlusion;0.999839;1.000000;0.993227
001;034;034;02;frontal_gaze;0.999872;1.000000;0.992675
001;034;034;02;looking_around;0.999939;1.000000;0.995721
001;034;034;02;looking_around_with_occlusion;0.999491;1.000000;0.990911
001;048;001;01;frontal_gaze;0.972673;1.000000;0.401437
001;048;001;01;looking_around;0.980992;1.000000;0.443847
001;048;001;01;looking_around_with_occlusion;0.991843;1.000000;0.790505
001;048;001;02;frontal_gaze;0.980043;1.000000;0.413306
001;048;001;02;looking_around;0.997559;1.000000;0.866087
001;048;001;02;looking_around_with_occlusion;0.993590;1.000000;0.733791
001;048;048;01;frontal_gaze;0.998891;1.000000;0.958178
001;048;048;01;looking_around;0.998455;1.000000;0.921191
001;048;048;01;looking_around_with_occlusion;0.998939;1.000000;0.964467
001;048;048;02;frontal_gaze;0.999490;1.000000;0.979474
001;048;048;02;looking_around;0.999757;1.000000;0.991187
001;048;048;02;looking_around_with_occlusion;0.998085;1.000000;0.913005
001;062;001;01;frontal_gaze;0.999967;1.000000;0.993541
001;062;001;01;looking_around;0.999976;1.000000;0.996522
001;062;001;01;looking_around_with_occlusion;1.000000;1.000000;0.999998
001;062;001;02;frontal_gaze;0.999921;1.000000;0.990277
001;062;001;02;looking_around;1.000000;1.000000;0.999999
001;062;001;02;looking_around_with_occlusion;1.000000;1.000000;0.999993
001;062;062;01;frontal_gaze;0.999901;1.000000;0.993878
001;062;062;01;looking_around;0.999900;1.000000;0.993100
001;062;062;01;looking_around_with_occlusion;0.999962;1.000000;0.995468
001;062;062;02;frontal_gaze;0.999945;1.000000;0.994691
001;062;062;02;looking_around;0.999968;1.000000;0.996214
001;062;062;02;looking_around_with_occlusion;0.999981;1.000000;0.996878
002;022;002;01;frontal_gaze;0.991708;1.000000;0.889057
002;022;002;01;looking_around;0.982535;1.000000;0.543271
002;022;002;01;looking_around_with_occlusion;0.981430;1.000000;0.743497
002;022;002;02;frontal_gaze;0.994697;1.000000;0.904122
002;022;002;02;looking_around;0.998003;1.000000;0.948889
002;022;002;02;looking_around_with_occlusion;0.995852;1.000000;0.892548
002;022;022;01;frontal_gaze;0.988880;1.000000;0.727477
002;022;022;01;looking_around;0.993266;1.000000;0.782698
002;022;022;01;looking_around_with_occlusion;0.990229;1.000000;0.346311
002;022;022;02;frontal_gaze;0.955985;1.000000;0.030331
