ID_SOGGETTO,SEQUENZA,POSA,AVG,MAX,MIN
ID001,1,frontal_gaze,0.5513685035971223,1.0,0.00643
ID001,1,looking_around,0.8598512027972027,1.0,0.257647
ID001,1,looking_around_with_occlusion,0.8462760652173912,1.0,0.209333
ID001,2,frontal_gaze,0.6782099090909091,1.0,0.015895
ID001,2,looking_around,0.989238231372549,1.0,0.727974
ID001,2,looking_around_with_occlusion,0.8938035764705883,1.0,0.05945
ID002,1,frontal_gaze,0.40264106770833336,1.0,0.000521
ID002,1,looking_around,0.5435614492753623,1.0,0.000189
ID002,1,looking_around_with_occlusion,0.4600111376811595,1.0,0.001378
ID002,2,frontal_gaze,0.39909372535211274,1.0,0.000104
ID002,2,looking_around,0.5641634821428572,0.986302,0.043102
ID002,2,looking_around_with_occlusion,0.586021980263158,1.0,0.008019
ID003,1,frontal_gaze,0.7569816479999998,0.991841,0.051396
ID003,1,looking_around,0.6330443402777778,0.996824,0.003344
ID003,1,looking_around_with_occlusion,0.6379598984374999,1.0,0.032836
ID003,2,frontal_gaze,0.48994339597315434,1.0,0.00117
ID003,2,looking_around,0.7365800772946861,1.0,0.001
ID003,2,looking_around_with_occlusion,0.5367428475609757,1.0,0.012127
ID004,1,frontal_gaze,0.8147880491803279,0.999996,0.243776
ID004,1,looking_around,0.8459957428571429,0.999999,0.286082
ID004,2,frontal_gaze,0.8815007265625,1.0,0.059627
ID004,2,looking_around_with_occlusion,0.9947283846153847,1.0,0.88322
ID005,1,frontal_gaze,0.9520862903225809,0.999999,0.521588
ID005,1,looking_around,0.9533305510204083,1.0,0.282165
ID005,1,looking_around_with_occlusion,0.9872871037735852,1.0,0.860724
ID005,2,frontal_gaze,0.6265476637168141,1.0,0.009162
ID005,2,looking_around_with_occlusion,0.848731469387755,1.0,0.017732
ID006,1,frontal_gaze,0.48217108620689664,1.0,0.001648
ID006,1,looking_around,0.9490059632352943,1.0,0.546251
ID006,1,looking_around_with_occlusion,0.9276007975460124,0.999998,0.292062
ID006,2,frontal_gaze,0.924236,1.0,0.121142
ID006,2,looking_around,0.9827833657142857,1.0,0.724311
ID006,2,looking_around_with_occlusion,0.9524734191616767,1.0,0.278975
ID007,1,frontal_gaze,0.7524830526315791,1.0,0.048434
ID007,1,looking_around,0.9450419747899161,1.0,0.121975
ID007,1,looking_around_with_occlusion,0.9423463846153848,1.0,0.134208
ID007,2,frontal_gaze,0.7907552580645161,1.0,0.05361
ID007,2,looking_around,0.9295782790697675,1.0,0.144283
ID007,2,looking_around_with_occlusion,0.79023749,1.0,0.049488
ID008,1,frontal_gaze,0.6876464553571429,1.0,0.00054
ID008,1,looking_around,0.7676162909090908,1.0,0.00654
ID008,1,looking_around_with_occlusion,0.8996910978260871,1.0,0.378173
ID008,2,frontal_gaze,0.7675143238095239,1.0,0.017129
ID008,2,looking_around,0.9159055800000001,1.0,0.342515
ID008,2,looking_around_with_occlusion,0.8364053059701492,1.0,0.22088
ID009,1,frontal_gaze,0.5080002877697842,0.991201,0.001303
ID009,1,looking_around,0.2854272071428571,1.0,0.000157
ID009,1,looking_around_with_occlusion,0.26227221969696973,1.0,8.1e-05
ID009,2,frontal_gaze,0.3569832739726027,1.0,0.000514
ID009,2,looking_around,0.5555721007751938,1.0,0.000714
ID009,2,looking_around_with_occlusion,0.8943337465753424,1.0,0.024074
ID010,1,frontal_gaze,0.5882899897959183,0.999997,0.006601
ID010,1,looking_around,0.9224877219251336,1.0,0.318018
ID010,1,looking_around_with_occlusion,0.9712419319727891,1.0,0.621865
ID010,2,frontal_gaze,0.851953653409091,1.0,0.1257
ID010,2,looking_around,0.9207530895522388,1.0,0.076072
ID010,2,looking_around_with_occlusion,0.917185585858586,1.0,0.390447
ID011,1,frontal_gaze,0.6160660642857142,0.996236,0.007884
ID011,1,looking_around,0.6201414842767295,1.0,0.001191
ID011,1,looking_around_with_occlusion,0.48530110179640706,0.99999,0.002138
ID011,2,frontal_gaze,0.6268549515151515,1.0,0.027911
ID011,2,looking_around,0.6883979938271605,1.0,0.045396
ID012,1,frontal_gaze,0.548706974789916,1.0,0.030646
ID012,1,looking_around,0.8507817723577236,1.0,0.023105
ID012,1,looking_around_with_occlusion,0.7197384608695653,0.992099,0.022429
ID012,2,frontal_gaze,0.7355011899999999,1.0,0.015048
ID012,2,looking_around,0.7677767864077669,1.0,0.037539
ID012,2,looking_around_with_occlusion,0.6538427889908257,1.0,0.002648
ID013,1,frontal_gaze,0.16125296992481203,0.860476,0.000749
ID013,1,looking_around,0.19629410655737706,0.865224,0.000212
ID013,1,looking_around_with_occlusion,0.2045273553719008,0.999997,0.000184
ID013,2,frontal_gaze,0.3119592231404959,1.0,9e-05
ID013,2,looking_around,0.3885485118110236,1.0,0.000521
