VIDEO ID;PERSON ID;AVG;MAX;MIN
P1E_S2_C1;0012;0.84205;0.7847500000000001;0.8862
P1E_S2_C1;0014;0.7817000000000001;0.6779999999999999;0.8673500000000001
P1E_S2_C2;0009;0.88455;0.8239;0.9164
P1E_S2_C2;0003;0.87335;0.75575;0.91255
P1E_S2_C2;0017;0.89035;0.77695;0.93255
P1E_S2_C2;0005;0.87155;0.8008;0.89725
P1E_S2_C2;0015;0.821;0.7141500000000001;0.86265
P1E_S2_C2;0024;0.87535;0.75095;0.9211
P1E_S2_C2;0022;0.8654;0.77845;0.90825
P1E_S2_C2;0019;0.8996500000000001;0.7902;0.92885
P1E_S2_C2;0021;0.85315;0.7723;0.89385
P1E_S2_C2;0025;0.8855;0.7964;0.9128499999999999
P1E_S2_C2;0023;0.8553;0.7726500000000001;0.902
P1E_S2_C2;0026;0.8598;0.79695;0.8871
P1E_S2_C2;0027;0.90355;0.89685;0.91035
P1E_S2_C2;0013;0.88775;0.7758;0.9262
P1E_S2_C2;0020;0.8467;0.75785;0.90965
P1E_S2_C2;0007;0.83095;0.74305;0.88035
P1E_S2_C2;0010;0.88;0.8274;0.90675
P1E_S2_C2;0006;0.8589;0.7435;0.8985
P1E_S2_C2;0011;0.8529;0.7382;0.9075
P1E_S2_C2;0018;0.85755;0.75625;0.8966
P1E_S2_C2;0001;0.8652;0.7515000000000001;0.9156
P1E_S2_C2;0004;0.8434;0.7401;0.8929
P1E_S2_C2;0012;0.875;0.81175;0.9138
P1E_S2_C2;0014;0.8367;0.75505;0.8858
P1E_S2_C3;0009;0.86805;0.8317;0.9028
P1E_S2_C3;0003;0.8683;0.83545;0.89515
P1E_S2_C3;0017;0.87565;0.827;0.8942
P1E_S2_C3;0005;0.84465;0.8149500000000001;0.8633
P1E_S2_C3;0015;0.8237;0.76065;0.86375
P1E_S2_C3;0024;0.85995;0.83725;0.88935
P1E_S2_C3;0022;0.84715;0.81115;0.87315
P1E_S2_C3;0019;0.887;0.8664000000000001;0.9056
P1E_S2_C3;0021;0.8337;0.78495;0.87535
P1E_S2_C3;0025;0.8734;0.82785;0.90305
P1E_S2_C3;0023;0.7881;0.73865;0.8274
P1E_S2_C3;0026;0.87095;0.85245;0.8913
P1E_S2_C3;0016;0.873;0.8493999999999999;0.88995
P1E_S2_C3;0013;0.87;0.8202;0.89045
P1E_S2_C3;0020;0.83885;0.7706500000000001;0.8849
P1E_S2_C3;0007;0.80205;0.74655;0.8376
P1E_S2_C3;0010;0.84875;0.7812;0.87285
P1E_S2_C3;0006;0.8559;0.7854;0.8889
P1E_S2_C3;0011;0.84425;0.76525;0.88125
P1E_S2_C3;0018;0.8496;0.81245;0.8717
P1E_S2_C3;0001;0.84555;0.78885;0.87595
P1E_S2_C3;0004;0.8392;0.81445;0.85685
P1E_S2_C3;0012;0.86865;0.8452999999999999;0.8846
P1E_S2_C3;0014;0.8341000000000001;0.79165;0.8662
P1E_S3_C1;0015;0.76265;0.6482;0.8257
P1E_S3_C1;0005;0.8316;0.79025;0.86285
P1E_S3_C1;0003;0.83655;0.7212000000000001;0.89355
P1E_S3_C1;0019;0.8368;0.7457;0.8911
P1E_S3_C1;0021;0.8335;0.74995;0.89415
P1E_S3_C1;0017;0.8239;0.72495;0.88645
P1E_S3_C1;0016;0.84475;0.7766;0.89705
P1E_S3_C1;0013;0.8528;0.76475;0.8964
P1E_S3_C1;0009;0.8548;0.7793;0.8888
P1E_S3_C1;0026;0.8064;0.7376;0.8485
P1E_S3_C1;0027;0.8747;0.77185;0.90915
P1E_S3_C1;0014;0.78355;0.7039500000000001;0.8672
P1E_S3_C1;0011;0.8096;0.73915;0.87465
P1E_S3_C1;0001;0.815;0.7243999999999999;0.8892
P1E_S3_C1;0010;0.81125;0.73105;0.8544499999999999
P1E_S3_C1;0012;0.8233;0.7463;0.8673500000000001
P1E_S3_C1;0020;0.7565999999999999;0.6800999999999999;0.8028500000000001
P1E_S3_C1;0024;0.8109500000000001;0.7052;0.89835
P1E_S3_C1;0023;0.81305;0.7132000000000001;0.88745
P1E_S3_C1;0022;0.83175;0.7472;0.89535
P1E_S3_C1;0025;0.80225;0.6604;0.8835500000000001
P1E_S3_C1;0018;0.80545;0.6955;0.8484
P1E_S3_C1;0006;0.77215;0.64165;0.85275
P1E_S3_C1;0004;0.7622;0.6432;0.8633500000000001
P1E_S3_C1;0007;0.7721;0.69655;0.8419
P1E_S3_C2;0015;0.81065;0.7072499999999999;0.8678
P1E_S3_C2;0005;0.8667;0.8065;0.88805
P1E_S3_C2;0003;0.87045;0.77275;0.9224
P1E_S3_C2;0019;0.8669;0.78515;0.90105
P1E_S3_C2;0021;0.8693;0.79545;0.89645
P1E_S3_C2;0017;0.8728;0.731;0.9214
P1E_S3_C2;0016;0.86705;0.79565;0.91005
P1E_S3_C2;0013;0.88385;0.78855;0.92105
P1E_S3_C2;0009;0.87875;0.82945;0.89995
P1E_S3_C2;0026;0.8315;0.78595;0.85995
P1E_S3_C2;0027;0.8996;0.8599;0.92325
P1E_S3_C2;0014;0.83465;0.7382;0.88705
P1E_S3_C2;0011;0.84785;0.77225;0.90115
P1E_S3_C2;0001;0.85775;0.75745;0.9104
P1E_S3_C2;0010;0.86125;0.8062;0.88415
P1E_S3_C2;0012;0.8486;0.79005;0.8802
P1E_S3_C2;0020;0.7914;0.74675;0.82535
P1E_S3_C2;0024;0.854;0.7054;0.90845
P1E_S3_C2;0023;0.85045;0.72085;0.89075
P1E_S3_C2;0022;0.868;0.81745;0.89735
P1E_S3_C2;0025;0.8553999999999999;0.7255499999999999;0.8921
P1E_S3_C2;0018;0.8375;0.7893;0.8644000000000001
P1E_S3_C2;0006;0.83345;0.7261;0.87915
P1E_S3_C2;0004;0.8210999999999999;0.7363;0.8841
P1E_S3_C2;0007;0.8275;0.7281500000000001;0.8746
P1E_S3_C3;0015;0.8219;0.77155;0.8518
P1E_S3_C3;0005;0.88885;0.86;0.9056
P1E_S3_C3;0003;0.89355;0.8518;0.9251
P1E_S3_C3;0019;0.89595;0.84345;0.91805
P1E_S3_C3;0021;0.8804;0.8276;0.9107
P1E_S3_C3;0017;0.89915;0.8243;0.9335
P1E_S3_C3;0016;0.8839;0.86285;0.90025
